TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:44.5,,,,,8.04106,8.66315,9.05484,8.52092
00:44.6,,,,,7.92586,8.66315,9.00876,8.4518
00:44.7,,,,,7.9489,8.59403,9.00876,8.47484
00:44.8,,,,,7.81066,8.64011,9.0318,8.47484
00:44.9,,,,,7.87978,8.68619,9.00876,8.49788
00:45.0,,,,,7.87978,8.68619,8.98572,8.47484
00:45.1,,,,,7.92586,8.64011,8.98572,8.47484
00:45.2,,,,,7.9489,8.61707,8.96268,8.52092
00:45.3,,,,,7.90282,8.68619,9.00876,8.4518
00:45.4,,,,,7.90282,8.68619,8.96268,8.4518
00:45.5,,,,,7.90282,8.68619,9.00876,8.54396
00:45.6,,,,,8.01802,8.64011,9.0318,8.4518
00:45.7,,,,,7.87978,8.61707,9.00876,8.47484
00:45.8,,,,,7.90282,8.61707,8.98572,8.49788
00:45.9,,,,,7.9489,8.68619,9.0318,8.47484
00:46.0,,,,,7.85674,8.61707,8.98572,8.49788
00:46.1,,,,,7.97194,8.61707,9.00876,8.4518
00:46.2,,,,,7.92586,8.66315,9.07788,8.47484
00:46.3,,,,,7.9489,8.66315,8.93964,8.47484
