F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
64.20338983,77,51,64.4483764,5.638026147,-0.863445777,1.194754691,1.003815789,0
61.99152542,77,42,62.33867315,6.597714915,-0.612592712,1.235188305,1.005599922,0
62.25423729,77,42,62.63886269,6.960433281,-0.594480069,1.229268807,1.006178301,0
63.38983051,77,51,63.61496999,5.370119765,-0.609752269,1.210406922,1.003551666,0
61.08474576,77,42,61.44351133,6.658426024,-0.517977884,1.253183588,1.005873243,0
62.40677966,77,51,62.65955904,5.646627143,-0.413780338,1.228862781,1.004050511,0
62.41525424,68,51,62.71991817,6.200808151,-0.690152859,1.084185088,1.004881242,0
63.33898305,68,51,63.52298396,4.85203339,-0.584994137,1.07047868,1.002905018,0
63.16101695,77,51,63.43547369,5.919647626,-0.54797173,1.213831875,1.00434535,0
63.65254237,77,42,63.96046183,6.295266325,-0.698272119,1.203868731,1.004837505,0
62.27118644,77,51,62.52091176,5.606255689,-0.367603789,1.231587925,1.004010287,0
61.1779661,68,42,61.61670751,7.371267105,-0.964767944,1.10359678,1.007171559,0
62.30508475,68,51,62.49338948,4.868367238,-0.334359326,1.088115088,1.003022301,0
63.46610169,77,51,63.70183458,5.498534697,-0.48362693,1.208756396,1.003714312,0
63.28813559,77,42,63.64693397,6.777415607,-0.911758965,1.209799046,1.005669283,0
63.94067797,77,51,64.23744354,6.19386569,-0.484300363,1.198677839,1.004641264,0
69.29661017,531,51,82.71971257,45.36486636,9.326679174,6.419267953,1.193705036,0
65.39830508,85,51,65.65168747,5.787017345,0.123886447,1.29471158,1.003874449,0
63.16101695,77,42,63.50757328,6.653795702,-0.49210854,1.212453823,1.005486871,0
62.54237288,77,42,62.9337828,7.037924213,-0.89233083,1.223508211,1.006258316,0
62.62711864,77,51,62.86358651,5.470662408,-0.41180496,1.224874435,1.003775806,0
61.44067797,77,42,61.96103204,8.047447302,-0.49412628,1.24271655,1.008469211,0
60.93220339,77,42,61.20969791,5.846657038,-0.334818445,1.257970593,1.004554152,0
62.24576271,77,42,62.54794771,6.167098309,-0.805391609,1.231055579,1.004854708,0
62.49152542,77,51,62.74605802,5.670052929,-0.253292275,1.227168725,1.004073074,0
62.72033898,77,51,62.92752086,5.123910088,-0.277860537,1.223629963,1.003303265,0
61.56779661,77,42,61.97723748,7.142599797,-0.724389022,1.242391612,1.006650244,0
62.26271186,68,51,62.50186438,5.485689177,-0.535528145,1.087967546,1.003841023,0
62.55084746,68,51,62.77556202,5.329481714,-0.563356519,1.083224073,1.00359251,0
69.72033898,342,51,76.09243932,30.61168024,7.608813602,4.494533268,1.091395143,0
62.76271186,85,42,63.21794425,7.605304004,-0.740164848,1.344554952,1.00725323,0
63.27118644,77,42,63.59871548,6.473695647,-0.996375298,1.210716277,1.005176591,0
61.41525424,68,42,61.76520605,6.593607719,-0.589677424,1.100943466,1.005698125,0
64.06779661,77,51,64.31358556,5.641314046,-0.801065966,1.197258702,1.003836388,0
61.23728814,77,42,61.56999599,6.41935903,-0.422137822,1.250609144,1.005433093,0
63.49152542,77,42,63.76864965,5.963916803,-1.015751924,1.207489894,1.004364744,0
61.55084746,77,42,61.84267903,6.026433876,-0.468775232,1.245094831,1.004741309,0
61.49152542,77,51,61.84356974,6.617441036,-0.361628602,1.245076898,1.005725087,0
63.72881356,68,51,63.9348185,5.150157274,-0.884494077,1.063583218,1.003232524,0
61.27118644,68,51,61.53089344,5.671432411,-0.369276504,1.105135911,1.004238648,0
63.6440678,77,42,63.9215621,5.975055589,-0.913566504,1.20460135,1.004360097,0
64.6779661,77,51,64.89796424,5.361912779,-0.315745246,1.186477895,1.003401439,0
61.89830508,68,51,62.15889971,5.710074813,-0.497072178,1.093970458,1.004210045,0
61.1440678,68,42,61.53936318,6.993617877,-1.048386046,1.10498381,1.006464983,0
62.22033898,68,51,62.42731367,5.100922647,-0.414766665,1.089266797,1.00332648,0
64.61016949,77,51,64.81106832,5.120820411,-0.29077417,1.188068674,1.003109399,0
62.77118644,77,42,63.15577996,6.98889353,-0.860871992,1.219207491,1.006126912,0
62.53389831,77,51,62.86149693,6.436650139,-0.226035652,1.224915151,1.005238737,0
72.12711864,531,51,84.89499995,44.96637806,9.390598195,6.254785327,1.177019151,0
64.40677966,77,51,64.67008844,5.854704133,-0.179102761,1.190658647,1.004088215,0
63.13559322,77,42,63.44168549,6.251037868,-1.074311181,1.213713025,1.004848173,0
61.94067797,77,42,62.29746846,6.686243529,-0.609947231,1.236005281,1.005760197,0
61.93220339,77,42,62.26732963,6.479064,-0.591101795,1.236603536,1.005411179,0
60.38983051,77,42,60.88722557,7.799883736,-0.312748212,1.264633087,1.008236404,0
62.75423729,77,51,62.9207869,4.594564683,0.102168799,1.223760919,1.002653998,0
62.07627119,77,42,62.43661192,6.726852402,-0.647363032,1.233250774,1.005804806,0
62.06779661,77,51,62.33316716,5.770139481,-0.184841886,1.235297411,1.004275495,0
62.41525424,77,42,62.67977534,5.776945443,-0.833101109,1.228466432,1.004238084,0
62,77,42,62.34798462,6.606135454,-0.742237068,1.235003833,1.005612655,0
62,68,51,62.22185566,5.272084198,-0.426480533,1.092863581,1.003578317,0
68.45762712,342,51,75.01423594,30.8014441,7.586985281,4.559134619,1.095776162,0
63.40677966,77,42,63.8282919,7.354558198,-1.076813793,1.206361595,1.006647747,0
62.3559322,85,42,62.73065912,6.875604618,-0.449417381,1.354999313,1.006009483,0
64.26271186,77,51,64.51730815,5.750403874,-0.935342518,1.193478188,1.003961804,0
62.06779661,77,42,62.40654029,6.521140917,-0.628735941,1.233845037,1.00545764,0
62.3220339,77,42,62.70809425,6.977229578,-0.614702471,1.227911658,1.006194605,0
63.38983051,77,51,63.61496999,5.370119765,-0.609752269,1.210406922,1.003551666,0
61.08474576,77,42,61.44351133,6.658426024,-0.517977884,1.253183588,1.005873243,0
62.40677966,77,51,62.65955904,5.646627143,-0.413780338,1.228862781,1.004050511,0
62.20338983,68,51,62.51372731,6.247815785,-0.637117596,1.087761088,1.004989077,0
63.11864407,68,51,63.32108118,5.080832914,-0.63034586,1.07389196,1.003207248,0
63.38983051,77,51,63.63534888,5.608348323,-0.507696438,1.210019295,1.003873151,0
64,77,42,64.31727501,6.407794399,-0.734601674,1.197190024,1.004957422,0
62.05932203,68,51,62.29325126,5.416486976,-0.474569558,1.091611027,1.003769445,0
61.1779661,68,42,61.61670751,7.371267105,-0.964767944,1.10359678,1.007171559,0
62.23728814,68,51,62.4239198,4.844025249,-0.311775684,1.089326018,1.002998711,0
63.6779661,77,51,63.92447875,5.632447747,-0.435584568,1.204546388,1.003871239,0
63.21186441,77,42,63.55999435,6.67160291,-0.993361143,1.211453852,1.005507351,0
63.87288136,77,51,64.16986198,6.192836515,-0.455820343,1.199940246,1.004649557,0
69.58474576,531,51,82.95797384,45.35884016,9.311245967,6.400831354,1.192186203,0
65.04237288,85,51,65.28393007,5.634742758,0.151662406,1.302004948,1.003713843,0
63.09322034,77,42,63.4392142,6.644819701,-0.467261642,1.213760305,1.005483852,0
62.6779661,77,42,63.07152249,7.064878046,-0.931907727,1.220836234,1.006279023,0
62.76271186,77,51,63.00147967,5.503189388,-0.461678597,1.222193517,1.003804294,0
